trp_multiplayer_profile_troop_male|сеткавы профіль войска мужчына
trp_polish_reytar_levelup|Польскі Рэйтар (ветэран)
trp_polish_reytar_levelup_pl|Польскія рэйтары (ветэраны)
trp_swadian_knight|Крылаты гусар
trp_swadian_knight_pl|Крылатыя гусары
trp_swadian_knight_levelup|Крылаты гусар (ветэран)
trp_swadian_knight_levelup_pl|Крылатыя гусары (ветэраны)
trp_swadian_messenger|Ганец
trp_swadian_messenger_pl|Ганец
trp_swadian_deserter|Дэзерцір
trp_swadian_deserter_pl|Дэзерціры
trp_swadian_prison_guard|Вартавы турмы
trp_swadian_prison_guard_pl|Вартавыя турмы
trp_swadian_castle_guard|Вартавы
trp_swadian_castle_guard_pl|Вартавы
trp_vaegir_recruit|Пасошная раць
trp_vaegir_recruit_pl|Пасошная раць
trp_vaegir_footman|Апалчэнец з дзідай
trp_vaegir_footman_pl|Апалчэнцы з дзідай
trp_vaegir_footman_levelup|Апалчэнец з дзідай (ветэран)
trp_vaegir_footman_levelup_pl|Апалчэнцы з дзідамі (ветэраны)
trp_vaegir_skirmisher|Пасадскі Стралец
trp_vaegir_skirmisher_pl|Пасадскія Стральцы
trp_vaegir_skirmisher_levelup|Пасадскі Стралец (ветэран)
trp_vaegir_skirmisher_levelup_pl|Пасадскія Стральцы (ветэраны)
trp_vaegir_veteran|Стралецкі копейщик
trp_vaegir_veteran_pl|Стралецкія капейшчыкі
trp_vaegir_veteran_levelup|Стралецкі капейшчык (ветэран)
trp_vaegir_veteran_levelup_pl|Стралецкія капейшчыкі (ветэраны)
trp_vaegir_archer|Стралец
trp_vaegir_archer_pl|Стралец
trp_vaegir_archer_levelup|Стралец (ветэран)
trp_vaegir_archer_levelup_pl|Стральцы (ветэраны)
trp_vaegir_infantry|Копейщик новага ладу
trp_vaegir_infantry_pl|Копейщики новага ладу
trp_vaegir_infantry_levelup|Копейщик новага ладу (ветэран)
trp_vaegir_infantry_levelup_pl|Копейщики новага ладу (ветэраны)
trp_vaegir_marksman|Стралец новага ладу
trp_vaegir_marksman_pl|Стральцы новага ладу
trp_vaegir_marksman_levelup|Стралец новага ладу (ветэран)
trp_vaegir_marksman_levelup_pl|Стральцы новага ладу (ветэраны)
trp_vaegir_horseman|Баявой халоп
trp_vaegir_horseman_pl|Баявыя халопы
trp_vaegir_horseman_levelup|Баявы халоп (ветэран)
trp_vaegir_horseman_levelup_pl|Баявыя халопы (ветэраны)
trp_moskow_dragoon|Памесны кавалерыст
trp_moskow_dragoon_pl|Памесная кавалерыя
trp_moskow_dragoon_levelup|Памесны кавалерыст (ветэран)
trp_moskow_dragoon_levelup_pl|Памесная кавалерыя (ветэраны)
trp_vaegir_knight|Маскоўскі Рэйтар
trp_vaegir_knight_pl|Маскоўскія рэйтары
trp_vaegir_knight_levelup|Маскоўскі Рэйтар (ветэран)
trp_vaegir_knight_levelup_pl|Маскоўскія рэйтары (ветэраны)
trp_vaegir_guard|Баярскі дружыннік
trp_vaegir_guard_pl|Баярская дружына
trp_vaegir_guard_levelup|Баярскі дружыннік (ветэран)
trp_vaegir_guard_levelup_pl|Баярская дружына (ветэраны)
trp_vaegir_messenger|Ганец
trp_vaegir_messenger_pl|Ганец
trp_vaegir_deserter|Вегірскі дэзерцір
trp_vaegir_deserter_pl|Вегірскія дэзерціры
trp_vaegir_prison_guard|Вартавы турмы
trp_vaegir_prison_guard_pl|Вартавыя турмы
trp_vaegir_castle_guard|Вартавы
trp_vaegir_castle_guard_pl|Вартавы
trp_rinda|Рында
trp_rinda_pl|Рында
trp_khergit_tribesman|Качэўнік
trp_khergit_tribesman_pl|Качэўнік
trp_khergit_skirmisher|Капы-кулу
trp_khergit_skirmisher_pl|Капы-кулу
trp_khergit_skirmisher_levelup|Капы-кулу (ветэран)
trp_khergit_skirmisher_levelup_pl|Капы-кулу (ветэраны)
trp_khergit_horseman|Байрак
trp_khergit_horseman_pl|Байракі
trp_khergit_horseman_levelup|Байрак (ветэран)
trp_khergit_horseman_levelup_pl|Байракі (вэтэраны)
trp_saymen|Сэймен
trp_saymen_pl|Сэймены
trp_saymen_levelup|Сэймен (ветэран)
trp_saymen_levelup_pl|Сэймэны (вэтэраны)
trp_khergit_horse_archer|Джасак
trp_khergit_horse_archer_pl|Джасакі
trp_khergit_horse_archer_levelup|Джасак (ветэран)
trp_khergit_horse_archer_levelup_pl|Джасакі (ветэраны)
trp_khergit_lancer|Оглан
trp_khergit_lancer_pl|Огланы
trp_khergit_lancer_levelup|Оглан (ветэран) 
trp_khergit_lancer_levelup_pl|Огланы (ветэраны)
trp_khergit_veteran_horse_archer|Мурза чамбул
trp_khergit_veteran_horse_archer_pl|Мурза чамбул
trp_khergit_veteran_horse_archer_levelup|Мурза чамбул (ветэран)
trp_khergit_veteran_horse_archer_levelup_pl|Мурза чамбул (вэтэраны)
trp_asak_bey|Асак-бей
trp_asak_bey_pl|Асак-беі
trp_asak_bey_levelup|Асак-бей (ветэран)
trp_asak_bey_levelup_pl|Асак-беі (ветэраны)
trp_zyndjirli|Нукер
trp_zyndjirli_pl|Нукеры
trp_zyndjirli_levelup|Нукер (ветэран)
trp_zyndjirli_levelup_pl|Нукеры (ветэраны)
trp_khergit_messenger|Ганец
trp_khergit_messenger_pl|Ганец
trp_khergit_deserter|Дэзерцір
trp_khergit_deserter_pl|Дэзерціры
trp_khergit_prison_guard|Вартавы турмы
trp_khergit_prison_guard_pl|Вартавыя турмы
trp_khergit_castle_guard|Вартавы
trp_khergit_castle_guard_pl|Вартавы
trp_nord_recruit|Гарадскі апалчэнец
trp_nord_recruit_pl|Гарадское апалчэнне
trp_nord_footman|Пікінер апалчэння
trp_nord_footman_pl|Пікінеры апалчэння
trp_nord_footman_levelup|Пікінер апалчэння (ветэран)
trp_nord_footman_levelup_pl|Пікінеры апалчэння (ветэраны)
trp_nord_huntsman|Мушкецёр апалчэння
trp_nord_huntsman_pl|Мушкецёры апалчэння
trp_nord_huntsman_levelup|Мушкецёр апалчэння (ветэран)
trp_nord_huntsman_levelup_pl|Мушкецёры апалчэння (ветэраны)
trp_nord_trained_footman|Пікінер
trp_nord_trained_footman_pl|Пікінеры
trp_nord_trained_footman_levelup|Пікінер (ветэран)
trp_nord_trained_footman_levelup_pl|Пікінеры (ветэраны)
trp_nord_archer|Мушкецёр
trp_nord_archer_pl|Мушкецёр
trp_nord_archer_levelup|Мушкецёр (ветэран)
trp_nord_archer_levelup_pl|Мушкецёры (ветэраны)
trp_sved_swordmaster|Майстар мяча
trp_sved_swordmaster_pl|Майстры мяча
trp_sved_swordmaster_levelup|Майстар мяча (ветэран)
trp_sved_swordmaster_levelup_pl|Майстры мяча (ветэраны)
trp_nord_veteran_archer|Лейб-гвардзеец
trp_nord_veteran_archer_pl|Лейб-гвардыя
trp_nord_veteran_archer_levelup|Лейб-гвардзеец (ветэран)
trp_nord_veteran_archer_levelup_pl|Лейб-гвардыя
trp_nord_warrior|Драгун
trp_nord_warrior_pl|Драгун
trp_nord_warrior_levelup|Драгун (ветэран)
trp_nord_warrior_levelup_pl|Драгуны (ветэраны)
trp_nord_champion|Кірасір
trp_nord_champion_pl|Кірасір
trp_nord_champion_levelup|Кірасір (ветэран)
trp_nord_champion_levelup_pl|Кірасір 
trp_sved_lancers|Кірасір-дзіданосец
trp_sved_lancers_pl|Кірасіры-дзіданосцы
trp_sved_lancers_levelup|Кірасір-дзіданосец (ветэран)
trp_sved_lancers_levelup_pl|Кірасіры-дзіданосцы (ветэраны)
trp_nord_veteran|Шведскі Рэйтар
trp_nord_veteran_pl|Шведскія рэйтары
trp_nord_veteran_levelup|Шведскі Рэйтар (ветэран)
trp_nord_veteran_levelup_pl|Шведскія рэйтары (ветэраны)
trp_nord_messenger|Ганец
trp_nord_messenger_pl|Ганец
trp_nord_deserter|Нордскі дэзерцір
trp_nord_deserter_pl|Нордскія дэзерціры
trp_nord_prison_guard|Вартавы турмы
trp_nord_prison_guard_pl|Вартавыя турмы
trp_nord_castle_guard|Вартавы
trp_nord_castle_guard_pl|Вартавы
trp_rhodok_tribesman|Селянін
trp_rhodok_tribesman_pl|Сяляне
trp_rhodok_spearman|Голота
trp_rhodok_spearman_pl|Голота
trp_rhodok_spearman_levelup|Голота (ветэран)
trp_rhodok_spearman_levelup_pl|Голота (ветэраны)
trp_ukr_golota|Голота з пікай
trp_ukr_golota_pl|Голота з пікай
trp_ukr_golota_levelup|Голота з пікамі (ветэран)
trp_ukr_golota_levelup_pl|Голота з пікамі (ветэраны)
trp_rhodok_sergeant|Запарожскі пяхотнік
trp_rhodok_sergeant_pl|Запароская пяхота
trp_rhodok_sergeant_levelup|Запарожскі пяхотнік (ветэран)
trp_rhodok_sergeant_levelup_pl|Запароская пяхота (ветэраны)
trp_rhodok_trained_crossbowman|Нецяг
trp_rhodok_trained_crossbowman_pl|Нецягі
trp_rhodok_trained_crossbowman_levelup|Нецяг (ветэран)
trp_rhodok_trained_crossbowman_levelup_pl|Нецягі (ветэраны)
trp_rhodok_veteran_spearman|Сярдзюк
trp_rhodok_veteran_spearman_pl|Сярдзюк
trp_rhodok_veteran_spearman_levelup|Сярдзюк (ветэран)
trp_rhodok_veteran_spearman_levelup_pl|Сердзюкі (ветэраны)
trp_rhodok_trained_spearman|Джура
trp_rhodok_trained_spearman_pl|Джуры
trp_rhodok_trained_spearman_levelup|Джура (ветэран)
trp_rhodok_trained_spearman_levelup_pl|Джуры (ветэраны)
trp_rhodok_crossbowman|Вартаўнік
trp_rhodok_crossbowman_pl|Вартаваць
trp_rhodok_crossbowman_levelup|Вартаўніка (ветэран)
trp_rhodok_crossbowman_levelup_pl|Вартаўнікі (ветэраны)
trp_ukr_storoja|Вартаўніка з пікамі
trp_ukr_storoja_pl|Вартаўнікі з пікамі
trp_ukr_storoja_levelup|Вартаўніка з пікамі (ветэран)
trp_ukr_storoja_levelup_pl|Вартаўнікі з пікамі (ветэраны)
trp_rhodok_veteran_crossbowman|Запарожскі кавалерыст
trp_rhodok_veteran_crossbowman_pl|Запароская кавалерыя
trp_rhodok_veteran_crossbowman_levelup|Запарожскі кавалерыст (ветэран)
trp_rhodok_veteran_crossbowman_levelup_pl|Запароская кавалерыя (ветэраны)
trp_rhodok_messenger|Ганец
trp_rhodok_messenger_pl|Ганец
trp_rhodok_deserter|Радокскі дэзерцір
trp_rhodok_deserter_pl|Радокскія дэзерціры
trp_rhodok_prison_guard|Вартавы турмы
trp_rhodok_prison_guard_pl|Вартавыя турмы
trp_rhodok_castle_guard|Вартавы
trp_rhodok_castle_guard_pl|Вартавы
trp_looter|Рабаўнік
trp_looter_pl|Рабаўнік
trp_bandit|Бандыт
trp_bandit_pl|Бандыт
trp_brigand|Разбойнік
trp_brigand_pl|Разбойнік
trp_mountain_bandit|Разбойнік
trp_mountain_bandit_pl|Разбойнік
trp_forest_bandit|Бунтар
trp_forest_bandit_pl|Бунтар
trp_sea_raider|Бандыт
trp_sea_raider_pl|Бандыт
trp_steppe_bandit|Татарскі налётчык
trp_steppe_bandit_pl|Татарскія налётчыкі
trp_black_khergit_horseman|Чорны кергіцкі вершнік
trp_black_khergit_horseman_pl|Чорныя кергитские коннікі
trp_manhunter|Стралец тайнага загаду
trp_manhunter_pl|Стральцы тайнага загаду
trp_slave_driver|Наглядчык
trp_slave_driver_pl|Наглядчык
trp_slave_hunter|Паляўнічы за прыгоннымі
trp_slave_hunter_pl|Паляўнічыя за прыгоннымі
trp_slave_crusher|Наёмны наглядчык
trp_slave_crusher_pl|Наёмныя наглядчыкі
trp_slaver_chief|Гандляр рабамі
trp_slaver_chief_pl|Гандляр рабамі
trp_follower_woman|Маркітантка
trp_follower_woman_pl|Маркітанткі
trp_hunter_woman|Паляўнічая
trp_hunter_woman_pl|Паляўнічай
trp_fighter_woman|Абаронца лагера
trp_fighter_woman_pl|Абаронцы лагера
trp_sword_sister|Сястра па зброі
trp_sword_sister_pl|Сёстры па зброі
trp_basurman_azap|Азап
trp_basurman_azap_pl|Азапы
trp_basurman_azap_levelup|Азап (ветэран)
trp_basurman_azap_levelup_pl|Азапы (вэтэраны)
trp_basurman_jebelu|Джэбелю
trp_basurman_jebelu_pl|Джэбелю
trp_basurman_jebelu_levelup|Джэбелю (ветэран)
trp_basurman_jebelu_levelup_pl|Джэбелю (ветэраны)
trp_janissar|Янычар
trp_janissar_pl|Янычар
trp_janissar_levelup|Янычар (ветэран)
trp_janissar_levelup_pl|Янычары (ветэраны)
trp_scott_pika|Шатландскі пікенер
trp_scott_pika_pl|Шатландскія пікенеры
trp_scott_pika_levelup|Шатландскі пікенер (ветэран)
trp_scott_pika_levelup_pl|Шатландскія пікенеры (ветэраны)
trp_scott_musket|Шатландскі мушкецёр
trp_scott_musket_pl|Шатландскія мушкецёры
trp_scott_musket_levelup|Шатландскі мушкецёр (ветэран)
trp_scott_musket_levelup_pl|Шатландскія мушкецёры (ветэраны)
trp_scott_sword|Шатландскі мечнік
trp_scott_sword_pl|Шатландскія мечнікі
trp_scott_sword_levelup|Шатландскі мечнік (ветэран)
trp_scott_sword_levelup_pl|Шатландскія мечнікі (ветэраны)
trp_pruss_pike|Нямецкі пікінер
trp_pruss_pike_pl|Нямецкія пікінеры
trp_pruss_pike_levelup|Нямецкі пікінер (ветэран)
trp_pruss_pike_levelup_pl|Нямецкія пікінеры (ветэраны)
trp_rundashir|Рундашыр
trp_rundashir_pl|Рундашыры
trp_rundashir_levelup|Рундашыр (ветэран)
trp_rundashir_levelup_pl|Рундашыры (вэтэраны)
trp_tatar_merc_peh|Татарскі пяхотнік
trp_tatar_merc_peh_pl|Татарскія пяхотнікі
trp_tatar_merc_peh_levelup|Татарскі пяхотнік (ветэран)
trp_tatar_merc_peh_levelup_pl|Татарскія пяхотнікі (ветэран)
trp_litva_musket|Літоўскі мушкецёр
trp_litva_musket_pl|Літоўскія мушкецёры
trp_litva_musket_levelup|Літоўскі мушкецёр (ветэран)
trp_litva_musket_levelup_pl|Літоўскія мушкецёры (ветэраны)
trp_gorod_kozak|Гарадавы казак
trp_gorod_kozak_pl|Гарадавыя казакі
trp_gorod_kozak_levelup|Гарадавы казак (ветэран)
trp_gorod_kozak_levelup_pl|Гарадавыя казакі (ветэраны)
trp_finn_arcebuz|Фінскі аркебузір
trp_finn_arcebuz_pl|Фінскія аркебузіры
trp_finn_arcebuz_levelup|Фінскі аркебузір (ветэран)
trp_finn_arcebuz_levelup_pl|Фінскія аркебузіры (ветэраны)
trp_don_cossack|Станішнік
trp_don_cossack_pl|Станішнікі
trp_don_cossack_levelup|Данскі казак (ветэран)
trp_don_cossack_levelup_pl|Данскія казакі (ветэраны)
trp_reestrovuy_kozak|Рэестравае казак
trp_reestrovuy_kozak_pl|Рэестравыя казакі
trp_reestrovuy_kozak_levelup|Рэестравае казак (ветэран)
trp_reestrovuy_kozak_levelup_pl|Рэестравыя казакі (ветэраны)
trp_lisovchiki|Лісоўчык
trp_lisovchiki_pl|Лісоўчыкі
trp_lisovchiki_levelup|Лісоўчык (ветэран)
trp_lisovchiki_levelup_pl|Лісоўчыкі (вэтэраны)
trp_litva_lipki|Ліпкі
trp_litva_lipki_pl|Ліпкі
trp_litva_lipki_levelup|Ліпкі (ветэран)
trp_litva_lipki_levelup_pl|Ліпкі (вэтэраны)
trp_ttr_nogay|Ногай
trp_ttr_nogay_pl|Нагаі
trp_ttr_nogay_levelup|Ногай (ветэран)
trp_ttr_nogay_levelup_pl|Нагаі (ветэраны)
trp_ttr_cherkes|Чэркес
trp_ttr_cherkes_pl|Чэркес
trp_ttr_cherkes_levelup|Чаркес (ветэран)
trp_ttr_cherkes_levelup_pl|Чаркесы (вэтэраны)
trp_mosk_kalmyk|Калмык
trp_mosk_kalmyk_pl|Калмык
trp_mosk_kalmyk_levelup|Калмык (ветэран)
trp_mosk_kalmyk_levelup_pl|Калмыкі (вэтэраны)
trp_tatar_merc_cav|Татарскі кавалерыст
trp_tatar_merc_cav_pl|Татарскія кавалерысты
trp_tatar_merc_cav_levelup|Татарскі кавалерыст (ветэран)
trp_tatar_merc_cav_levelup_pl|Татарскія кавалерысты (ветэраны)
trp_merc_reytar|Рэйтар
trp_merc_reytar_pl|Рэйтары
trp_merc_reytar_levelup|Чорны Рэйтар (ветэран)
trp_merc_reytar_levelup_pl|Чорныя рэйтары (ветэраны)
trp_refugee|Бежанец
trp_refugee_pl|Бежанец
trp_peasant_woman|Сялянка
trp_peasant_woman_pl|Сялянка
trp_caravan_master|Гаспадар абозу
trp_caravan_master_pl|Гаспадары абозаў
trp_kidnapped_girl|Выкрадзеная дзяўчына
trp_kidnapped_girl_pl|Выкрадзеныя дзяўчыны
trp_town_walker_1|Гараджанін
trp_town_walker_1_pl|Гараджанін
trp_town_walker_2|Гараджанка
trp_town_walker_2_pl|Гараджанка
trp_village_walker_1|Жыхар вёскі
trp_village_walker_1_pl|Жыхары вёскі
trp_village_walker_2|Жыхарка вёскі
trp_village_walker_2_pl|Жыхаркі вёскі
trp_rich_baba_pol|Жыхарка
trp_rich_baba_pol_pl|Жыхарка
trp_pure_baba_pol|Жыхарка
trp_pure_baba_pol_pl|Жыхарка
trp_rich_mujik_pol|Жыхар
trp_rich_mujik_pol_pl|Жыхар
trp_pure_mujik_pol|Жыхар
trp_pure_mujik_pol_pl|Жыхар
trp_rich_baba_mosk|Жыхарка
trp_rich_baba_mosk_pl|Жыхарка
trp_pure_baba_mosk|Жыхарка
trp_pure_baba_mosk_pl|Жыхарка
trp_rich_mujik_mosk|Жыхар
trp_rich_mujik_mosk_pl|Жыхар
trp_pure_mujik_mosk|Жыхар
trp_pure_mujik_mosk_pl|Жыхар
trp_rich_baba_ttr|Жыхарка
trp_rich_baba_ttr_pl|Жыхарка
trp_pure_baba_ttr|Жыхарка
trp_pure_baba_ttr_pl|Жыхарка
trp_rich_mujik_ttr|Жыхар
trp_rich_mujik_ttr_pl|Жыхар
trp_pure_mujik_ttr|Жыхар
trp_pure_mujik_ttr_pl|Жыхар
trp_rich_baba_swd|Жыхарка
trp_rich_baba_swd_pl|Жыхарка
trp_pure_baba_swd|Жыхарка
trp_pure_baba_swd_pl|Жыхарка
trp_rich_mujik_swd|Жыхар
trp_rich_mujik_swd_pl|Жыхар
trp_pure_mujik_swd|Жыхар
trp_pure_mujik_swd_pl|Жыхар
trp_rich_baba_ukr|Жыхарка
trp_rich_baba_ukr_pl|Жыхарка
trp_pure_baba_ukr|Жыхарка
trp_pure_baba_ukr_pl|Жыхарка
trp_rich_mujik_ukr|Жыхар
trp_rich_mujik_ukr_pl|Жыхар
trp_pure_mujik_ukr|Жыхар
trp_pure_mujik_ukr_pl|Жыхар
trp_spy_walker_1|Гараджанін
trp_spy_walker_1_pl|Гараджанін
trp_spy_walker_2|Гараджанка
trp_spy_walker_2_pl|Гараджанка
trp_tournament_master|Распарадчык спаборніцтваў
trp_tournament_master_pl|Распарадчык спаборніцтваў
trp_trainer|Трэнер
trp_trainer_pl|Трэнер
trp_constable_hareck|Канстэбль Харэк
trp_constable_hareck_pl|Канстэбль Харэк
trp_ramun_the_slave_trader|Рамун-гандляр рабамі
trp_ramun_the_slave_trader_pl|Рамун-гандляр рабамі
trp_guide|Хутканогі Джымі
trp_guide_pl|Хутканогі Джымі
trp_xerina|Ксерыя
trp_xerina_pl|Ксерыя
trp_dranton|Дрантон
trp_dranton_pl|Дрантон
trp_kradus|Крадус
trp_kradus_pl|Крадус
trp_tutorial_trainer|Гаспадар трэніровачнай пляцоўкі
trp_tutorial_trainer_pl|Гаспадар трэніровачнай пляцоўкі
trp_galeas|Галеас
trp_galeas_pl|Галеас
trp_farmer_from_bandit_village|Селянін
trp_farmer_from_bandit_village_pl|Селянін
trp_trainer_1|Трэнер
trp_trainer_1_pl|Трэнер
trp_trainer_2|Трэнер
trp_trainer_2_pl|Трэнер
trp_trainer_3|Трэнер
trp_trainer_3_pl|Трэнер
trp_trainer_4|Трэнер
trp_trainer_4_pl|Трэнер
trp_trainer_5|Трэнер
trp_trainer_5_pl|Трэнер
trp_ransom_broker_1|Пасярэднік
trp_ransom_broker_1_pl|Пасярэднік
trp_ransom_broker_2|Пасярэднік
trp_ransom_broker_2_pl|Пасярэднік
trp_ransom_broker_3|Пасярэднік
trp_ransom_broker_3_pl|Пасярэднік
trp_ransom_broker_4|Пасярэднік
trp_ransom_broker_4_pl|Пасярэднік
trp_ransom_broker_5|Пасярэднік
trp_ransom_broker_5_pl|Пасярэднік
trp_ransom_broker_6|Пасярэднік
trp_ransom_broker_6_pl|Пасярэднік
trp_ransom_broker_7|Пасярэднік
trp_ransom_broker_7_pl|Пасярэднік
trp_ransom_broker_8|Пасярэднік
trp_ransom_broker_8_pl|Пасярэднік
trp_ransom_broker_9|Пасярэднік
trp_ransom_broker_9_pl|Пасярэднік
trp_ransom_broker_10|Пасярэднік
trp_ransom_broker_10_pl|Пасярэднік
trp_tavern_traveler_1|Вандроўнік
trp_tavern_traveler_1_pl|Вандроўнік
trp_tavern_traveler_2|Вандроўнік
trp_tavern_traveler_2_pl|Вандроўнік
trp_tavern_traveler_3|Вандроўнік
trp_tavern_traveler_3_pl|Вандроўнік
trp_tavern_traveler_4|Вандроўнік
trp_tavern_traveler_4_pl|Вандроўнік
trp_tavern_traveler_5|Вандроўнік
trp_tavern_traveler_5_pl|Вандроўнік
trp_tavern_traveler_6|Вандроўнік
trp_tavern_traveler_6_pl|Вандроўнік
trp_tavern_traveler_7|Вандроўнік
trp_tavern_traveler_7_pl|Вандроўнік
trp_tavern_traveler_8|Вандроўнік
trp_tavern_traveler_8_pl|Вандроўнік
trp_tavern_traveler_9|Вандроўнік
trp_tavern_traveler_9_pl|Вандроўнік
trp_tavern_traveler_10|Вандроўнік
trp_tavern_traveler_10_pl|Вандроўнік
trp_tavern_bookseller_1|Прадавец кніг
trp_tavern_bookseller_1_pl|Прадавец кніг
trp_tavern_bookseller_2|Прадавец кніг
trp_tavern_bookseller_2_pl|Прадавец кніг
trp_tavern_minstrel_1|Кабзар
trp_tavern_minstrel_1_pl|Кабзар
trp_npc1|Пан Заглоба
trp_npc1_pl|Пан Заглоба
trp_npc2|Цепеш
trp_npc2_pl|Цепеш
trp_npc3|Ксёндз Спасакукоцкі
trp_npc3_pl|Ксёндз Спасакукоцкі
trp_npc4|Мамай
trp_npc4_pl|Мамай
trp_npc5|Карлсан
trp_npc5_pl|Карлсан
trp_npc6|Фядот
trp_npc6_pl|Фядот
