str_no_string|НЯМА РАДКОЎ!
str_relation_mnus_30|               Падазронасць
str_relation_mnus_20|               Падазронасць
str_relation_mnus_10|               Абыякавасьць
str_relation_plus_0|               Абыякавасьць
str_relation_plus_10|               Абыякавасьць
str_relation_plus_20|               Сімпатыя
str_relation_plus_30|               Сімпатыя
str_relation_plus_40|               Падтрымка
str_relation_plus_50|               Падтрымка
str_relation_plus_60|               Прыязнасць
str_relation_plus_70|               Прыязнасць
str_relation_plus_80|               Адданасьць
str_relation_plus_90|               Адданасьць
str_relation_mnus_100_ns|{s60} хоча вам адпомсціць.
str_relation_mnus_90_ns|{s60} хоча вам адпомсціць.
str_relation_mnus_80_ns|{s60} хоча вам адпомсціць.
str_relation_mnus_70_ns|{s60} ненавідзіць вас.
str_relation_mnus_60_ns|{s60} ненавідзіць вас.
str_relation_mnus_50_ns|{s60} ненавідзіць вас.
str_relation_mnus_40_ns|{s60} злуецца на вас.
str_relation_mnus_30_ns|{s60} абураецца вашымі паводзінамі.
str_relation_mnus_20_ns|{s60} ставіцца да вас няветліва.
str_relation_mnus_10_ns|{s60} ставіцца да вас падазрона.
str_relation_plus_0_ns|{s60} да вас абыякавы.
str_relation_plus_10_ns|{s60} ставіцца да вас з спагадлівасцю.
str_relation_plus_20_ns|{s60} ставіцца да вас гасцінна.
str_relation_plus_30_ns|{s60} ставіцца да вас добразычліва.
str_relation_plus_40_ns|{s60} аказвае вам падтрымку.
str_relation_plus_50_ns|{s60} ставіцца да вас прыязна.
str_relation_plus_60_ns|{s60} ставіцца да вас ласкава.
str_relation_plus_70_ns|{s60} ставіцца да вас цёпла.
str_relation_plus_80_ns|{s60} - ваш надзейны саюзнік.
str_relation_plus_90_ns|{s60} - ваш адданы сябар.
str_relation_reg1| Стаўленне: {reg1}
str_center_relation_mnus_100|Насельніцтва адчайна ненавідзіць вас
str_center_relation_mnus_90|Насельніцтва вельмі моцна ненавідзіць вас
str_center_relation_mnus_80|Насельніцтва моцна ненавідзіць вас
str_center_relation_mnus_70|Насельніцтва ненавідзіць вас
str_center_relation_mnus_60|Насельніцтва адчувае да вас нянавісць
str_center_relation_mnus_50|Насельніцтва настроена да вас надзвычай варожа
str_center_relation_mnus_40|Насельніцтва настроена да вас вельмі варожа
str_center_relation_mnus_30|Насельніцтва наладжана да вас варожа
str_center_relation_mnus_20|Насельніцтва супраць вас
str_center_relation_mnus_10|Насельніцтва супрацьстаіць вам
str_center_relation_plus_0|Насельніцтву няма да вас справы
str_center_relation_plus_10|Насельніцтва прымае вас
str_center_relation_plus_20|Насельніцтва ставіцца да вас з спагадлівасцю
str_center_relation_plus_30|Насельніцтва ў чымсьці вас падтрымлівае
str_center_relation_plus_40|Насельніцтва вас падтрымлівае
str_center_relation_plus_50|Насельніцтва падтрымлівае вас ва ўсім
str_center_relation_plus_60|Насельніцтва дакладна вам
str_center_relation_plus_70|Насельніцтва дакладна вам ва ўсім
str_center_relation_plus_80|Насельніцтва аддана вам
str_center_relation_plus_90|Насельніцтва адчайна аддана вам
str_town_prosperity_0|Горад {s60} нясцерпна бедны.
str_town_prosperity_10|Жабрак горад {s60} практычна апусцеў.
str_town_prosperity_20|Горад {s60} выглядае пустым і струхлелым.
str_town_prosperity_30|Горад {s60} выглядае бедным і закінутым.
str_town_prosperity_40|Горад {s60} з цяжкасцю змагаецца за існаванне.
str_town_prosperity_50|Горад {s60} нічым не адметны.
str_town_prosperity_60|Горад {s60} квітнее.
str_town_prosperity_70|Горад {s60} - квітнеючы і ажыўлены.
str_town_prosperity_80|Горад {s60} выглядае заможным і добраўпарадкаваным.
str_town_prosperity_90|Горад {s60} - заможны і поўны паспяховых людзей.
str_town_prosperity_100|У багатым горадзе {S60} жыццё б'е ключом.
str_village_prosperity_0|Вёска {s60} нясцерпна бедная.
str_village_prosperity_10|Жабрацкая вёска {s60} практычна апусцела.
str_village_prosperity_20|Вёска {s60} выглядае пустой і струхлелай.
str_village_prosperity_30|Вёска {s60} выглядае беднай і закінутай.
str_village_prosperity_40|Вёска {s60} з цяжкасцю змагаецца за існаванне.
str_village_prosperity_50|Вёска {s60} нічым не характэрная.
str_village_prosperity_60|Вёска {s60} квітнее.
str_village_prosperity_70|Вёска {s60} выглядае квітнеючай і ажыўленай.
str_village_prosperity_80|Вёска {s60} выглядае заможнай і добраўпарадкаванай.
str_village_prosperity_90|Вёска {s60} выглядае багатай і квітнеючай.
str_village_prosperity_100|Вёска {S60}, акружаная шырокімі ўрадлівымі палямі, выглядае неверагодна багатай.
str_war_report_minus_4|мы амаль прайгралі вайну
str_war_report_minus_3|становішча незайздроснае
str_war_report_minus_2|нашы справы ідуць не вельмі добра
str_war_report_minus_1|мы можам перамагчы, калі збярэмся
str_war_report_0|нашы і варожыя сілы роўныя
str_war_report_plus_1|у нас ёсць усе шанцы выйграць вайну
str_war_report_plus_2|справы ідуць добра
str_war_report_plus_3|мы з лёгкасцю пераможам іх
str_war_report_plus_4|мы амаль выйгралі вайну
str_persuasion_summary_very_bad|Вы робіце ўсё магчымае, але {S50} не жадае вас слухаць. Ўперамешку з разумнымі довадамі вы прыводзіце непераканаўчыя, і размова даводзіцца пачынаць спачатку. Па заканчэнні гутаркі вы разумееце, што не дамагліся роўным лікам нічога, але выставілі сябе на пасмешышча перад суразмоўцам. Нядзіўна, што {s50} не ўражаны.
str_persuasion_summary_bad|Вы праяўляеце цуды перакананні, але {s50} аказваецца значна красамоўней. У выніку вашы самыя важкія довады перастаюць здавацца пераканаўчымі нават вам. {s50}, ясная справа, застаецца пры сваім меркаванні.
str_persuasion_summary_average|{s50} спрактыкаваны ў спрэчках і на ўсялякі ваш аргумент знаходзіць лагічнае пярэчанне. У выніку размова ні да чаго вас не прыводзіць.
str_persuasion_summary_good|Вы не лезеце за словам у кішэню і прыводзіце важкія аргументы, так што {s50} неахвотна згаджаецца з вамі. Аднак {reg51?у яе: у яго ўсё яшчэ засталіся сумневы датычна вашай просьбы.
str_persuasion_summary_very_good|Вы прамаўляеце палымяную гаворка, якая музыкай льецца ў вушы слухачоў. Здаецца, увесь свет заціх і слухае вам. {s50} расчулены вашымі словамі і згаджаецца вам дапамагчы.
str_secret_sign_1|Шафа скача ў ночы...
str_secret_sign_2|Я прадаю лепшыя турэцкія габелены. Ці не хочаш зірнуць?
str_secret_sign_3|Знаёмы майго сябра даслаў...
str_secret_sign_4|З усходу дзьме моцны вецер, і рака становіцца чырвонай...
str_countersign_1|Ён танчыць для камоды або для падсвечніка?
str_countersign_2|Так, сіні ёсць?
str_countersign_3|Але, сябар мой, у знаёмага вашага сябра ніколі не будзе такога сябра, як я.
str_countersign_4|Вы захварэлі?
str_name_1|Сірко
str_name_2|Мазыра
str_name_3|Філон
str_name_4|Бухаць
str_name_5|Нечуй
str_name_6|Рурк
str_name_7|Асмунд
str_name_8|Б'ёрн
str_name_9|Сігвар
str_name_10|Таргейр
str_name_11|Гунстэйн
str_name_12|Чорт
str_name_13|Акунь
str_name_14|Бязносы
str_name_15|Буян
str_name_16|Ходкі
str_name_17|Табаш
str_name_18|Замор
str_name_19|Гудзь
str_name_20|Барнаба
str_name_21|Войцех
str_name_22|Гарша
str_name_23|Байбак
str_name_24|Бахмет
str_name_25|Акун
str_surname_1|{s50} пазначаны
str_surname_2|{s50} Патрашыцель
str_surname_3|{s50} бычыны вачэй
str_surname_4|{s50} цыбаты
str_surname_5|{s50} Каратыш
str_surname_6|{s50} Залатавуст
str_surname_7|{s50} Грамабой
str_surname_8|{s50} Сівы
str_surname_9|{s50} прагны
str_surname_10|{s50} добры
str_surname_11|{s50} высакародны
str_surname_12|{s50} здаравяка
str_surname_13|{s50} худы
str_surname_14|{s50} Шакал
str_surname_15|{s50} хвалько
str_surname_16|{s50} каршун
str_surname_17|{s50} Крыжавік
str_surname_18|{s50} Дубіна
str_surname_19|{s50} вушасты
str_surname_20|{s50} Мушкет
str_surname_21|{s50} белы
str_surname_22|{s50} Чорны
str_surname_23|{s50} руды
str_surname_24|{s50} трунар
str_surname_25|{s50} Жалезны
str_surname_26|{s50} Прасцяк
str_surname_27|{s50} Стары
str_surname_28|{s50} Даўгарукі
str_surname_29|{s50} кныр
str_surname_30|{s50} гарбаты
str_surname_31|{s50} Калабок
str_surname_32|{s50} тоўсты
str_surname_33|{s50} весялун
str_surname_34|{s50} хмурны
str_surname_35|{s50} касой
str_surname_36|{s50} пчаляр
str_surname_37|{s50} нямы
str_surname_38|{S50} стрэлак
str_surname_39|{s50} Сэрцаед
str_surname_40|{s50} мяняла
str_surname_41|{S50} воўк
str_surnames_end|прозвішчы скончаны
str_number_of_troops_killed_reg1|Забіта атрадаў: {reg1}
str_number_of_troops_wounded_reg1|Паранена атрадаў: {reg1}
str_number_of_own_troops_killed_reg1|Забіта сяброўскіх атрадаў: {reg1}
str_number_of_own_troops_wounded_reg1|Паранена сяброўскіх атрадаў: {reg1}
str_retreat|Адступаем!
str_siege_continues|Бой працягваецца...
str_casualty_display|Вашы страты: {s10}^страты ворага: {s11}{s12}
str_casualty_display_hp|^Вы параненыя і страцілі {reg1} ачкоў здароўя.
str_quest_log_updated|Часопіс заданняў абноўлены.
str_banner_selection_text|Вам выпаў гонар несці сцяг, які будзе адлюстроўваць ваш статус і прынясе вам славу. Які сцяг вы вылучыце?
str_retirement_text_1|Занадта позна вы ўсведамляеце, што вашых грошай не хопіць на нябеднае старасць. Бедныя зберажэнні хутка растаюць, і вы зноў адчайна кідаецеся на пошукі прыгод. Вы сканчаеце сваё жыццё ў {s9}, влача жабрацкае існаванне і жывучы за кошт міласці.
str_retirement_text_2|Занадта позна вы ўсведамляеце, што вашых грошай не хопіць на нябеднае старасць. Бедныя зберажэнні хутка растаюць, і вам нічога не застаецца, акрамя як стаць злачынцам у цёмных завулках {s9}, дзе вы рабуеце жанчын і бедных гараджан, адбіраючы ў іх бездапаможныя грошы.
str_retirement_text_3|Занадта позна вы ўсведамляеце, што вашых грошай не хопіць на нябеднае старасць. Бедныя зберажэнні хутка растаюць, і вы адпраўляецеся жабраваць па карчмах. Чуллівыя наведвальнікі часам частуюць вас выпіўкай, каб паслухаць вашыя апавяданні пра вайну. Зрэшты, вам ужо даўно ніхто не верыць.
str_retirement_text_4|Вашы зберажэнні невялікія, але іх хапае на куплю невялікага ўчастка зямлі каля {s7}. Так вы сталі свабодным землеўладальнікам, і хутка на вас звярнулі ўвагу патэнцыйныя {нявесты/жаніхі}. З часам сяляне сталі пачытаць вас як мясцовага героя - вам заўсёды даставалася ганаровае месца за святочным сталом, а пра вашых подзвігі зноў і зноў распавядалі ў піўных і карчмах. 
str_retirement_text_5|Вашы зберажэнні невялікія, але іх хапае на куплю невялікага шынка ў {s9}. Спачатку мясцовыя ставіліся да вас недаверліва, але паступова прынялі вас. З часам ваш кабак стаў папулярным, у ім праводзілася мноства святаў. Дзеля таго каб павячэраць або пераначаваць у вашым установе і паслухаць апавяданні аб вашым гераічным мінулым, некаторыя людзі спецыяльна прыязджалі з іншага горада. 
str_retirement_text_6|За час вашай кар'еры вы ўвесь час адкладалі грошы, а пасля здолелі распарадзіцца сваім багаццем з розумам. Купіўшы некалькі крам і складоў у {s9}, вы неўзабаве становіцеся адным з самых квітнеючых гарадскіх купцоў, прымнажаць свой стан, і неўзабаве слава вашай гандлёвай імперыі становіцца ані не менш вашай баявой славы.
str_retirement_text_7|У вас былі зямельныя ўладанні, няхай і невялікія, таму ваша будучыня было больш-менш наканаванае. Вы пасяліліся ў сваім маёнтку ў {s7}, сачылі за вёскай і палямі, гулялі ролю сусветнага суддзі і выконвалі абавязкі перад кіраўніком. Часам ён загадваў вам выступіць у ролі камандуючага ў сваіх ваенных паходах, але яны праходзілі даволі хутка, і да прыгод сваёй маладосці вы так і не вярнуліся. Грошай вы зарабілі дастаткова, у вас ёсць свая крэпасць і зямлі, так што вы можаце дазволіць сабе ўсё, што толькі пажадаеце.
str_retirement_text_8|Вы выдатна здолелі паклапаціцца пра сябе. Вашы шырокія валодання і назапашаныя зберажэнні дазволяць вам правесці рэшту жыцця ў багацці. Вярнуўшыся ў свой маёнтак {s8}, вы звяртаецеся да палітыкі і хутка становіцеся значнай фігурай у пры двары вашага кіраўніка. Вы разблытваць інтрыгі, палюеце, пируете ў раскошных залах, распавядаючы гасцям шматлікія гісторыі пра вайну. Словам, жыццё атрымалася.
str_retirement_text_9|За вашу выдатную верную службу кіраўнік завітаў вам спадчынны тытул, які дазволіў вам далучыцца да вышэйшай шляхты. Неўзабаве вы сталі спадаром {s7} і адным з самых блізкіх і давераных людзей кіраўніка. Ваша вядомасць прынесла вам ўплыў і немалую палітычную ўладу. Цяпер вы праводзіце свае дні ў справах кіраўнічых, распараджаецеся сваімі маёнткамі і ўспамінаеце старыя дні, поўныя прыгод і славы.
str_retirement_text_10|Вы пачыналі службу з самых нізоў, але кіраўнік высока цаніў вас, і многія былі невымоўна здзіўлены, калі ён завітаў вам наследны тытул {графа/графіні} і маёнтак {s9}. Цяпер у вашым распараджэнні велізарныя валодання і капіталы. Вы хутка становіцеся набліжаным кіраўніка, амаль раўняецеся з ім па сіле і ўплыву, дапамагаеце яму кіраваць дзяржавай. Вы па праву з'яўляецеся адной з самых значных фігур у дзяржаве.
str_loot_village|нападаць на безабаронных сялян
str_steal_from_villagers|красці ў бедных сялян
str_men_hungry|галадаваць
str_men_unpaid|гараваць
str_excessive_casualties|ператвараць любую бітву ў крывавую бойню для сваіх
str_flee_battle|бегчы з поля бою
str_fail_quest|правальваць заданне, за якое дадзена слова гонару
str_squander_money|проматывать давераныя грошы
str_murder_merchant|здзяйсняць стрыманае забойства
str_round_up_serfs|лавіць халопаў па загадзе двараніна
str_battle_fate_1|Мы падзяліліся ў запале бітвы
str_battle_fate_2|Мяне паранілі і пакінулі паміраць
str_battle_fate_3|Удар ворага пазбавіў мяне пачуццяў
str_battle_fate_4|За мяне патрабавалі выкуп
str_battle_fate_5|Мяне паланілі, але мне ўдалося збегчы
str_npc_morale_report|твой выбар спадарожнікаў мне ў агульным {s6} і {s7} твой спосаб вядзення спраў. Да таго ж, мне {s8} расклад рэчаў у цэлым
str_happy|вельмі прыемны
str_content|падабацца
str_concerned|не падабаецца
str_not_happy|зусім не падабаецца
str_miserable|агідны
str_morale_reg1| Баявы дух: {reg1}
str_bar_enthusiastic|                   Воін натхнёны
str_bar_content|              Воін задаволены
str_bar_weary|          Воін стомлены
str_bar_disgruntled|     Воін незадаволены
str_bar_miserable|  Воін у роспачы
str_here_plus_space|тут
str_npc1_intro|Каго я бачу! Ты ж служыў пад пачаткам князя Ярэмы...
str_npc2_intro|Прабачце, мы знаёмыя?
str_npc3_intro|{Сын мой / дачка мая}! Дазволь асвяціць тваю трапезу і прачытаць асаблівую і вельмі прыгожую малітву, якая прынясе табе поспех у баі. Гэта табе абыйдзецца ўсяго-то ў пару кружечек пеністага халоднага піва! 
str_npc4_intro|Здаровы будзь, казаче! Не хочаш выпіць са мной чарку добрай гарылкі?
str_npc5_intro|Гер Рытэр, не адкажы выпіць са мной чарку.
str_npc6_intro|Здаровы будзь, незнаёмы! Гэта ты тут шукаеш паляўнічых людзей? Я Стралец, клічуць Фядотаў...
str_npc7_intro|Калі ты збіраешся прапанаваць мне выпіць, то можаш нават не падыходзіць!
str_npc8_intro|Ісэнмесэ!
str_npc9_intro|Добры дзень, {пане / васпані}. Ты, гадзінай, не з Літвы?
str_npc10_intro|Віктар Дэ ла Бускадор, да тваіх паслуг!
str_npc11_intro|Мы, здаецца, знаёмыя. Мне патрэбна твая дапамога.
str_npc12_intro|Мне не падабаецца колер твайго твару, {спадар / спадарыня}. Ці не хочаш паставіць п'явак?
str_npc13_intro|Калі ты шукаеш варажбітку, то ты не ў час. Я гадаю толькі на малады месяц.
str_npc14_intro|Вітаю, {майстар / фройлен}. А віно тут, не знаходзь?
str_npc15_intro|Чаго тарашчышся, качалкі хочаш паспытаць?
str_npc16_intro|Ты збіраешся прапанаваць мне за дзесяць талераў прайсці ў твой пакой? Улічы, у мяне востры кінжал напагатове.
str_npc1_intro_response_1|Ты пазнаў бацьку. Дарэчы, ці не бачыў ты тут пана Заглобу? Я яго шукаю.
str_npc2_intro_response_1|Пакуль няма. Мяне клічуць {playername}.
str_npc3_intro_response_1|Будзь здаровы, Святы Айцец! З чаго гэта ты па карчмах жабраваць? 
str_npc4_intro_response_1|А чаго б не выпіць, калі чалавек добры...
str_npc5_intro_response_1|Што ж, можна. Адкажы-ка, што робіць шведскі мушкецёр ў тутэйшых месцах?
str_npc6_intro_response_1|Можа, і шукаю. А што гэта ў цябе кафтан истрепан, бердыш яшчэ? Са службы збег?
str_npc7_intro_response_1|Што ты. І ў думках не меў. А вось сам я з задавальненнем чарку перакуліну.
str_npc8_intro_response_1|Прабач, што Ты сказаў?
str_npc9_intro_response_1|Здаецца, ты мяне з кімсьці зблытаў, дружа. 
str_npc10_intro_response_1|Ну і імя. Ты іспанец?
str_npc11_intro_response_1|Не ўзгадваю. А ў чым справа?
str_npc12_intro_response_1|П'явак? А ты што, лекар?
str_npc13_intro_response_1|Цікава. А я думаў, што гадаць лепш у поўню...
str_npc14_intro_response_1|А ты, я гляджу, разбіраешся ў вінах?
str_npc15_intro_response_1|Божа барані! Мне падалося, табе ёсць, што расказаць. Як цябе клікаць-зваць?
str_npc16_intro_response_1|Што ты... Наадварот, хацеў пацікавіцца, ці не крыўдзіць цябе хто...
str_npc1_intro_response_2|Мне цяпер не да шчырых успамінаў.
str_npc2_intro_response_2|Прабач, я пазнаў.
str_npc3_intro_response_2|Вось ужо каго менш за ўсё чакаў убачыць... Ідзі, Святы Айцец, бог падасць...
str_npc4_intro_response_2|Дзякую, але я ўжо з'язджаю.
str_npc5_intro_response_2|Прабач, але я спяшаюся.
str_npc6_intro_response_2|Не, цябе падманулі.
str_npc7_intro_response_2|Ды дзеля бога, мне няма да цябе ніякай справы.
str_npc8_intro_response_2|Ідзі, ідзі, басурманін. Не разумею я па-вашаму.
str_npc9_intro_response_2|Пагаворым пазней, прыяцель. Я спяшаюся.
str_npc10_intro_response_2|Вельмі рады. Убачымся пазней.
str_npc11_intro_response_2|Прабач, я спяшаюся.
str_npc12_intro_response_2|Забірай сваіх чарвякоў і Зьнікні з вачэй маіх, крывапіўца...
str_npc13_intro_response_2|Я не веру варажбіткам. Бывай.
str_npc14_intro_response_2|Прабач, мне цяпер не да гутарак. Прыемнага вечара...
str_npc15_intro_response_2|Не-не! Ужо сыходжу...
str_npc16_intro_response_2|Навошта ж адразу пра дрэннае думаць? У любым выпадку, ужо сыходжу.
str_npc1_backstory_a|Пашанцавала табе, {сынку / Дачка}. Пан Заглоба я і ёсць!
str_npc2_backstory_a|Я апошні прадстаўнік старажытнага роду валашскіх гаспадароў. Мой знакаміты продак-Уладзіслаў Цепеш, па мянушцы Дракула, навальніца туркаў і валадар Трансільваніі!
str_npc3_backstory_a|З нядаўніх часоў я... як бы гэта дакладней сказаць, больш не нашу святарскі сан.
str_npc4_backstory_a|Мяне ўсё клічуць мамай. Я-нашчадак таго самага знакамітага казака, пра які кабзары спяваюць. Вядома, дзесяцёх Ляхаў шараварамі ня прыб'ю, але піку ў руках трымаць ўмею.  
str_npc5_backstory_a|Я не зусім у звальненні. Я ў часовай адстаўцы. 
str_npc6_backstory_a|Тут ты маеш рацыю. Збегчы. Ды і хто не збег бы? Я сам з Тулы, але апошнія гады служыў у маскоўскіх стральцах. Я, бач ты, складаўся здабытчыкам лоўчага загаду. Баравую дзічыну біў для царскага палаца.
str_npc7_backstory_a|Віно, гарылка, шнапс-гэта праклён маім жыцці. Варта мне прыгубіць моцнага напою, як усё цела пачынае зудеть і пакрываецца сыпам...
str_npc8_backstory_a|"А, обознался. Исэнмесе па-татарску значыць "" ці жывы ты яшчэ?""Гэта такое прывітанне накшталт"" як справы?"
str_npc9_backstory_a|Прашу мяне дараваць. Дазволь прадставіцца - я Альгерд. Сваё радавое імя Я палічыў за лепшае б не выдаваць.
str_npc10_backstory_a|Я атожылак старадаўняга роду, пусціў карані ў Старым і Новым Свеце. Бускадоры ўдзельнічалі ці ледзь не ва ўсіх войнах яшчэ з часоў Рэканкісты.
str_npc11_backstory_a|На мяне адкрылі паляванне людзі татарскага хана. Я загнаў трох коней і нарэшце схаваўся тут.
str_npc12_backstory_a|Сам я родам з Кіева. Вучыўся ў Кіева-брацкай Калегіі, асвоіў грамату і падаўся ў лекары. Да нядаўніх часоў карыстаў казакоў з куранёўскага прадмесця. Лячыў ад пахмелля, кроў пускаў, параненым перавязкі рабіў. І жыў бы сабе прыпяваючы, калі б не сустрэў французскага картографа... Як там яго... Гіёма дэ Боплана. Ён праездам быў у Кіеве, занямог, вось мяне і паклікалі яму п'явак ставіць... 
str_npc13_backstory_a|Я Аксана, вядзьмарка. Мастацтва варажбы перадаецца ў маёй сям'і ад бабкі да ўнучкі з спрадвечных часоў.
str_npc14_backstory_a|Яшчэ б. Бо я вайсковая маркитантка з патэнтам ад самога караля Швецыі. Дакладней была да нядаўніх часоў.
str_npc15_backstory_a|Варвара Я. родам з Ноўгарада. Там і пражыла ўсё жыццё, пакуль не заўдавела.
str_npc16_backstory_a|Крыўдзіць? Мяне? Ніводнага з тых, хто сур'ёзна паспрабаваў мяне пакрыўдзіць, даўно ўжо няма ў жывых.
str_npc1_backstory_b|Хутчэй лісце перечтешь ў лесе, чым усіх тых ворагаў, што я зьнішчыў. Будзь у мяне столькі валасоў на галаве, колькі я адзін іх паклаў, цырульнікі багацце б нажылі на подбривке адной маёй чуприны. Будзь Я пракляты, калі схлушу... 
