itm_no_item|Нет предмета
itm_raw_dyes|Фарба
itm_raw_dyes_pl|Фарба
itm_velvet|Аксаміт
itm_velvet_pl|Аксаміт
itm_iron|Жалеза
itm_iron_pl|Жалеза
itm_tools|Інструменты
itm_tools_pl|Інструменты
itm_raw_leather|Шкуры
itm_raw_leather_pl|Шкуры
itm_leatherwork|Вырабы са скуры
itm_leatherwork_pl|Вырабы са скуры
itm_raw_date_fruit|Фінікі
itm_raw_date_fruit_pl|Фінікі
itm_furs|Футра
itm_furs_pl|Футра
itm_oim_powder|Порах
itm_oim_powder_pl|Порах
itm_oim_alcohol|Гарэлка
itm_oim_alcohol_pl|Гарэлка
itm_oim_penka|Пянька
itm_oim_penka_pl|Пянька
itm_oim_tutun|Тытунь
itm_oim_tutun_pl|Тытунь
itm_wine|Віно
itm_wine_pl|Віно
itm_ale|Піва
itm_ale_pl|Піва
itm_smoked_fish|Вэнджаная рыба
itm_smoked_fish_pl|Вэнджаная рыба
itm_cheese|Сыр
itm_cheese_pl|Сыр
itm_honey|Мёд
itm_honey_pl|Мёд
itm_sausages|Каўбаскі
itm_sausages_pl|Каўбаскі
itm_cabbages|Капуста
itm_cabbages_pl|Капуста
itm_dried_meat|Вяленае мяса
itm_dried_meat_pl|Вяленае мяса
itm_apples|Яблыкі
itm_apples_pl|Яблыкі
itm_raw_grapes|Вінаград
itm_raw_grapes_pl|Вінаград
itm_raw_olives|Алівы
itm_raw_olives_pl|Алівы
itm_grain|Пшаніца
itm_grain_pl|Пшаніца
itm_flour|Мука
itm_flour_pl|Мука
itm_cattle_meat|Ялавічына
itm_cattle_meat_pl|Ялавічына
itm_bread|Хлеб
itm_bread_pl|Хлеб
itm_chicken|Кураціна
itm_chicken_pl|Кураціна
itm_pork|Свініна
itm_pork_pl|Свініна
itm_butter|Масла
itm_butter_pl|Масла
itm_siege_supply|Прыпасы
itm_siege_supply_pl|Прыпасы
itm_quest_wine|Віно
itm_quest_wine_pl|Віно
itm_quest_ale|Піва
itm_quest_ale_pl|Піва
itm_sumpter_horse|Вьючная лошадь
itm_sumpter_horse_pl|Вьючные лошади
itm_saddle_horse|Верховая лошадь
itm_saddle_horse_pl|Верховые лошади
itm_saddle_horse_b|Верховая лошадь
itm_saddle_horse_b_pl|Верховые лошади
itm_saddle_horse_c|Верховая лошадь
itm_saddle_horse_c_pl|Верховые лошади
itm_steppe_horse|Степная лошадь
itm_steppe_horse_pl|Степные лошади
itm_steppe_horse_b|Степная лошадь
itm_steppe_horse_b_pl|Степные лошади
itm_courser|Скаковая лошадь
itm_courser_pl|Скаковая лошадь
itm_hunter|Боевая лошадь
itm_hunter_pl|Боевые лошади
itm_rich_horse|Чистокровная лошадь
itm_rich_horse_pl|Чистокровные лошади
itm_rich_horse_b|Чистокровная лошадь
itm_rich_horse_b_pl|Чистокровные лошади
itm_warhorse|Боевая лошадь
itm_warhorse_pl|Боевые лошади
itm_charger|Дестриэ
itm_charger_pl|Дестриэ
itm_arrows|Стрелы
itm_arrows_pl|Стрелы
itm_khergit_arrows|Татарские стрелы
itm_khergit_arrows_pl|Татарские стрелы
itm_east_arrows|Восточные стрелы
itm_east_arrows_pl|Восточные стрелы
itm_barbed_arrows|Зазубренные стрелы
itm_barbed_arrows_pl|Зазубренные стрелы
itm_bodkin_arrows|Каленые стрелы
itm_bodkin_arrows_pl|Каленые стрелы
itm_bolts|Пули
itm_bolts_pl|Пули
itm_steel_bolts|Тяжелые пули
itm_steel_bolts_pl|Тяжелые пули
itm_cartridges|Пули
itm_cartridges_pl|Пули
itm_pilgrim_disguise|Одеяние паломника
itm_pilgrim_disguise_pl|Одеяния паломников
itm_pilgrim_hood|Капюшон паломника
itm_pilgrim_hood_pl|Капюшоны паломников
itm_cavalry_gloves|Кавалерийские перчатки
itm_cavalry_gloves_pl|Кавалерийские перчатки
itm_infantry_gloves|Пехотные перчатки
itm_infantry_gloves_pl|Пехотные перчатки
itm_armor_gauntlets|Латные перчатки
itm_armor_gauntlets_pl|Латные перчатки
itm_leather_gloves|Кожаные перчатки
itm_leather_gloves_pl|Кожаные перчатки
itm_reytar_gauntlets|Рейтарские перчатки
itm_reytar_gauntlets_pl|Рейтарские перчатки
itm_black_reytar_gauntlets|Латные перчатки
itm_black_reytar_gauntlets_pl|Латные перчатки
itm_wrapping_boots|Обмотки
itm_wrapping_boots_pl|Обмотки
itm_woolen_hose|Шерстяные шоссы
itm_woolen_hose_pl|Шерстяные шоссы
itm_blue_hose|Синие шоссы
itm_blue_hose_pl|Синие шоссы
itm_hide_boots|Сапоги из толстой кожи
itm_hide_boots_pl|Сапоги из толстой кожи
itm_nomad_boots|Сапоги кочевника
itm_nomad_boots_pl|Сапоги кочевника
itm_leather_boots|Кожаные сапоги
itm_leather_boots_pl|Кожаные сапоги
itm_selo_boots|Сельская обувь
itm_selo_boots_pl|Сельская обувь
itm_old_cavalry_boots|Старые высокие сапоги
itm_old_cavalry_boots_pl|Старые высокие сапоги
itm_infantry_boots|Европейские сапоги
itm_infantry_boots_pl|Европейские сапоги
itm_cavalry_boots|Высокие сапоги
itm_cavalry_boots_pl|Высокие сапоги
itm_good_cavalry_boots|Богатые высокие сапоги
itm_good_cavalry_boots_pl|Богатые высокие сапоги
itm_kozak_boots|Сапоги
itm_kozak_boots_pl|Сапоги
itm_moskowit_postoli|Постолы
itm_moskowit_postoli_pl|Постолы
itm_moskowit_postoli_b|Постолы
itm_moskowit_postoli_b_pl|Постолы
itm_sapogi|Старые сапоги
itm_sapogi_pl|Старые сапоги
itm_good_sapogi|Богатые сапоги
itm_good_sapogi_pl|Богатые сапоги
itm_botinki|Чулки и ботинки
itm_botinki_pl|Чулки и ботинки
itm_old_cavalry_botforts|Старые ботфорты
itm_old_cavalry_botforts_pl|Старые ботфорты
itm_good_cavalry_botforts|Богатые ботфорты
itm_good_cavalry_botforts_pl|Богатые ботфорты
itm_cavalry_botforts|Ботфорты
itm_cavalry_botforts_pl|Ботфорты
itm_evropa_pehot_tufli|Чулки и туфли
itm_evropa_pehot_tufli_pl|Чулки и туфли
itm_janissary_tapki|Янычарские туфли
itm_janissary_tapki_pl|Янычарские туфли
itm_kalmyk_boots|Восточные сапоги
itm_kalmyk_boots_pl|Восточные сапоги
itm_courtly_outfit|Придворное платье
itm_courtly_outfit_pl|Придворные платья
itm_nobleman_outfit|Платье знатного человека
itm_nobleman_outfit_pl|Платья знатного человека
itm_leather_jacket|Дублет
itm_leather_jacket_pl|Дублеты
itm_rawhide_coat|Куяк из сыромятной кожи
itm_rawhide_coat_pl|Куяки из сыромятной кожи
itm_woolen_dress|Шерстяное платье
itm_woolen_dress_pl|Шерстяные платья
itm_linen_tunic|Полотняная туника
itm_linen_tunic_pl|Полотняные туники
itm_red_shirt|Красная рубаха
itm_red_shirt_pl|Красные рубахи
itm_red_tunic|Красная туника
itm_red_tunic_pl|Красные туники
itm_robe|Роба
itm_robe_pl|Робы
itm_coarse_tunic|Простая туника
itm_coarse_tunic_pl|Простые туники
itm_leather_apron|Кожаный передник
itm_leather_apron_pl|Кожаные передники
itm_tabard|Табард
itm_tabard_pl|Табарды
itm_red_gambeson|Красный гамбезон 
itm_red_gambeson_pl|Красные гамбезоны
itm_padded_cloth|Стеганка
itm_padded_cloth_pl|Стеганки
itm_leather_jerkin|Кожаный колет
itm_leather_jerkin_pl|Кожаные колеты
itm_nomad_vest|Халат
itm_nomad_vest_pl|Халаты
itm_tribal_warrior_outfit|Доспех из необработанной кожи
itm_tribal_warrior_outfit_pl|Доспехи из необработанной кожи
itm_poland_svitka_a|Кунтуш
itm_poland_svitka_a_pl|Кунтуши
itm_poland_svitka_b|Кунтуш
itm_poland_svitka_b_pl|Кунтуши
itm_dobrotna_svitka_a|Богатый кунтуш
itm_dobrotna_svitka_a_pl|Богатые кунтуши
itm_dobrotna_svitka_b|Богатый кунтуш
itm_dobrotna_svitka_b_pl|Богатые кунтуши
itm_dobrotna_svitka_c|Богатый кунтуш
itm_dobrotna_svitka_c_pl|Богатые кунтуши
itm_poland_pikiner_uniform|Униформа гайдука
itm_poland_pikiner_uniform_pl|Униформа гайдуков
itm_poland_musketer_uniform|Униформа гайдука
itm_poland_musketer_uniform_pl|Униформа гайдуков
itm_poland_dragoon_uniform|Униформа польского драгуна
itm_poland_dragoon_uniform_pl|Униформа польских драгун
itm_ukraine_svitka_a|Свитка
itm_ukraine_svitka_a_pl|Свитки
itm_ukraine_svitka_b|Свитка
itm_ukraine_svitka_b_pl|Свитки
itm_kozak_civil_jupan_a|Казацкий жупан
itm_kozak_civil_jupan_a_pl|Казацкие жупаны
itm_kozak_civil_jupan_b|Казацкий жупан
itm_kozak_civil_jupan_b_pl|Казацкие жупаны
itm_prostoy_jupan|Простой жупан
itm_prostoy_jupan_pl|Простые жупаны
itm_prostoy_jupan_b|Простой жупан
itm_prostoy_jupan_b_pl|Простые жупаны
itm_kozak_jupan|Казацкий жупан
itm_kozak_jupan_pl|Казацкие жупаны
itm_kozak_jupan_b|Казацкий жупан
itm_kozak_jupan_b_pl|Казацкие жупаны
itm_pure_streletzkiy_mundir|Стрелецкий кафтан 
itm_pure_streletzkiy_mundir_pl|Стрелецкие кафтаны
itm_pure_streletzkiy_mundir_spear|Стрелецкий кафтан 
itm_pure_streletzkiy_mundir_spear_pl|Стрелецкие кафтаны
itm_streletzkiy_mundir|Стрелецкий мундир
itm_streletzkiy_mundir_pl|Стрелецкие мундиры
itm_new_line_uniform|Мундир нового строя
itm_new_line_uniform_pl|Мундиры нового строя
itm_streletzkiy_mundir_spear|Стрелецкий мундир
itm_streletzkiy_mundir_spear_pl|Стрелецкие мундиры
itm_new_line_uniform_spear|Мундир нового строя
itm_new_line_uniform_spear_pl|Мундиры нового строя
itm_reestr_kozak_uniform|Униформа реестрового казака
itm_reestr_kozak_uniform_pl|Униформа реестровых казаков
itm_poland_uniforma_german_line_musketeer|Униформа немецкого строя
itm_poland_uniforma_german_line_musketeer_pl|Униформа немецкого строя
itm_mosk_sermyaga|Сермяга
itm_mosk_sermyaga_pl|Сермяги
itm_mosk_armyak|Армяк
itm_mosk_armyak_pl|Армяки
itm_mosk_civil_a|Простая одежда
itm_mosk_civil_a_pl|Простая одежда
itm_mosk_civil_b|Простая одежда
itm_mosk_civil_b_pl|Простая одежда
itm_evropa_odejda_sela|Сельский костюм
itm_evropa_odejda_sela_pl|Сельские костюмы
itm_evropa_odejda_sela_b|Сельский костюм
itm_evropa_odejda_sela_b_pl|Сельские костюмы
itm_swed_civil_a|Простая одежда
itm_swed_civil_a_pl|Простая одежда
itm_swed_civil_b|Простая одежда
itm_swed_civil_b_pl|Простая одежда
itm_tatar_halat_pure_a|Халат
itm_tatar_halat_pure_a_pl|Халаты
itm_tatar_halat_pure_b|Халат
itm_tatar_halat_pure_b_pl|Халаты
itm_ttr_civil_a|Простая одежда
itm_ttr_civil_a_pl|Простая одежда
itm_ttr_civil_b|Простая одежда
itm_ttr_civil_b_pl|Простая одежда
itm_yanichar_forma_a|Униформа янычар
itm_yanichar_forma_a_pl|Униформы янычар
itm_yanichar_forma_b|Униформа янычар
itm_yanichar_forma_b_pl|Униформы янычар
itm_merc_musket_uniforma_a|Камзол мушкетера
itm_merc_musket_uniforma_a_pl|Камзолы мушкетеров
itm_merc_musket_uniforma_b|Камзол мушкетера
itm_merc_musket_uniforma_b_pl|Камзолы мушкетеров
itm_prostoy_jupan_c|Простой жупан
itm_prostoy_jupan_c_pl|Простые жупаны
itm_ukraine_svitka_c|Свитка
itm_ukraine_svitka_c_pl|Свитка
itm_kozak_jupan_c|Казацкий жупан
itm_kozak_jupan_c_pl|Казацкие жупаны
itm_tatar_halat_pure_c|Простой халат
itm_tatar_halat_pure_c_pl|Простые халаты
itm_poland_svitka_c|Кунтуш
itm_poland_svitka_c_pl|Кунтуши
itm_poland_svitka_d|Кунтуш
itm_poland_svitka_d_pl|Кунтуши
itm_dobrotna_svitka_d|Богатый кунтуш
itm_dobrotna_svitka_d_pl|Богатые кунтуши
itm_dobrotna_svitka_e|Богатый кунтуш
itm_dobrotna_svitka_e_pl|Богатые кунтуши
itm_azap_forma|Турецкая одежда
itm_azap_forma_pl|Турецкая одежда
itm_scott_uniforma_musketeer|Камзол шотландского мушкетера
itm_scott_uniforma_musketeer_pl|Камзолы шотландских мушкетеров
itm_evropa_musket_uniforma|Униформа шведского мушкетера
itm_evropa_musket_uniforma_pl|Униформа шведских мушкетеров
itm_evropa_dragoon_uniforma|Униформа шведского драгуна
itm_evropa_dragoon_uniforma_pl|Униформа шведских драгун
itm_evropa_gvardia_uniforma|Камзол лейб-гвардии
itm_evropa_gvardia_uniforma_pl|Камзолы лейб-гвардии
itm_tatar_steg_halat_a|Стеганый халат
itm_tatar_steg_halat_a_pl|Стеганые халаты
itm_tatar_steg_halat_b|Стеганый халат
itm_tatar_steg_halat_b_pl|Стеганые халаты
itm_tatar_halat_a|Халат
itm_tatar_halat_a_pl|Халаты
itm_tatar_halat_b|Халат
itm_tatar_halat_b_pl|Халаты
itm_rinda_shuba|Кафтан Рынды
itm_rinda_shuba_pl|Кафтан Рынды
itm_kozak_jupan_usileniy|Жупан с подбивом
itm_kozak_jupan_usileniy_pl|Жупаны с подбивом
itm_serduk_jupan|Жупан сердюка
itm_serduk_jupan_pl|Жупаны сердюков
itm_moskow_tulup_a|Тегиляй
itm_moskow_tulup_a_pl|Тегиляи
itm_moskow_tulup_b|Тегиляй
itm_moskow_tulup_b_pl|Тегиляи
itm_moskow_tulup_c|Тегиляй
itm_moskow_tulup_c_pl|Тегиляи
itm_tzar_odyag|Царская одежда
itm_tzar_odyag_pl|Царские одежды
itm_cavalry_koja_kurtka|Усиленный жупан
itm_cavalry_koja_kurtka_pl|Усиленные жупаны
itm_koja_kurtka_s_podbivom|Усиленный кунтуш
itm_koja_kurtka_s_podbivom_pl|Усиленные кунтуши
itm_kolchuga_panzernika|Кольчуга
itm_kolchuga_panzernika_pl|Кольчуги
itm_kozak_jupan_na_kolchuge|Кольчуга под жупаном
itm_kozak_jupan_na_kolchuge_pl|Кольчуги под жупаном
itm_kolchuga|Кольчуга
itm_kolchuga_pl|Кольчуги
itm_moskow_reytar_armor|Доспех московского рейтара
itm_moskow_reytar_armor_pl|Доспехи московских рейтаров
itm_moskow_bahter_a|Бахтерец
itm_moskow_bahter_a_pl|Бахтерцы
itm_tatar_kolcha|Кольчуга
itm_tatar_kolcha_pl|Кольчуги
itm_tatar_bahter_b|Простой бахтерец
itm_tatar_bahter_b_pl|Простые бахтерцы
itm_tatar_seymen_armor|Кольчуга
itm_tatar_seymen_armor_pl|Кольчуги
itm_mosk_bahter_b|Бахтерец
itm_mosk_bahter_b_pl|Бахтерец
itm_moskow_kuyak|Куяк
itm_moskow_kuyak_pl|Куяки
itm_kirasa|Нагрудник
itm_kirasa_pl|Нагрудники
itm_kirasa_b|Полукираса
itm_kirasa_b_pl|Полукирасы
itm_kirasa_c|Полукираса
itm_kirasa_c_pl|Полукирасы
itm_kirasa_rich|Полукираса ручной работы
itm_kirasa_rich_pl|Полукирасы ручной работы
itm_simple_reytar_armor|Кираса поверх кожаной куртки
itm_simple_reytar_armor_pl|Кирасы поверх кожаной куртки
itm_moskow_boyar_uniform|Доспех боярской дружины
itm_moskow_boyar_uniform_pl|Доспехи боярской дружины
itm_evropa_pika_uniforma|Униформа шведского пикинера
itm_evropa_pika_uniforma_pl|Униформа шведских пикинеров
itm_merc_pika_uniforma_a|Униформа пикинера
itm_merc_pika_uniforma_a_pl|Униформы пикинеров
itm_merc_pika_uniforma_b|Униформа пикинера
itm_merc_pika_uniforma_b_pl|Униформы пикинеров
itm_tatar_bahter_a|Бахтерец
itm_tatar_bahter_a_pl|Бахтерцы
itm_tatar_yushman|Юшман
itm_tatar_yushman_pl|Юшманы
itm_poland_gusar_panzer|Панцирь крылатого гусара
itm_poland_gusar_panzer_pl|Панцири крылатых гусар
itm_poland_gusar_panzer_bez_kril|Гусарский панцирь
itm_poland_gusar_panzer_bez_kril_pl|Гусарские панцири
itm_poland_uniforma_german_line|Униформа немецкого строя
itm_poland_uniforma_german_line_pl|Униформа немецкого строя
itm_scott_uniforma|Шотландская униформа
itm_scott_uniforma_pl|Шотландские униформы
itm_moskow_zertzalo|Богатое зерцало
itm_moskow_zertzalo_pl|Богатые зерцала
itm_poland_gusar_yaguar|Гусарский панцирь со шкурой
itm_poland_gusar_yaguar_pl|Гусарские панцири со шкурой
itm_kalmyk_puzo|Восточная бригантина
itm_kalmyk_puzo_pl|Восточные бригантины
itm_reytar_armor|Полудоспех рейтара
itm_reytar_armor_pl|Полудоспехи рейтаров
itm_dospeh|Полудоспех
itm_dospeh_pl|Полудоспехи
itm_black_dospeh|Черные латы
itm_black_dospeh_pl|Черные латы
itm_rich_baba_mosk_1|Жаночая вопратка
itm_rich_baba_mosk_1_pl|Жаночая вопратка
itm_rich_baba_mosk_2|Жаночая вопратка
itm_rich_baba_mosk_2_pl|Жаночая вопратка
itm_rich_baba_mosk_3|Жаночая вопратка
itm_rich_baba_mosk_3_pl|Жаночая вопратка
itm_pure_baba_mosk_1|Жаночая вопратка
itm_pure_baba_mosk_1_pl|Жаночая вопратка
itm_pure_baba_mosk_2|Жаночая вопратка
itm_pure_baba_mosk_2_pl|Жаночая вопратка
itm_rich_baba_ttr_1|Жаночая вопратка
itm_rich_baba_ttr_1_pl|Жаночая вопратка
itm_rich_baba_ttr_2|Жаночая вопратка
itm_rich_baba_ttr_2_pl|Жаночая вопратка
itm_pure_baba_ttr_1|Жаночая вопратка
itm_pure_baba_ttr_1_pl|Жаночая вопратка
itm_pure_baba_ttr_2|Жаночая вопратка
itm_pure_baba_ttr_2_pl|Жаночая вопратка
itm_rich_baba_pol_1|Жаночая вопратка
itm_rich_baba_pol_1_pl|Жаночая вопратка
itm_rich_baba_pol_2|Жаночая вопратка
itm_rich_baba_pol_2_pl|Жаночая вопратка
itm_rich_baba_pol_3|Жаночая вопратка
itm_rich_baba_pol_3_pl|Жаночая вопратка
itm_rich_baba_pol_4|Жаночая вопратка
itm_rich_baba_pol_4_pl|Жаночая вопратка
itm_pure_baba_pol_1|Жаночая вопратка
itm_pure_baba_pol_1_pl|Жаночая вопратка
itm_pure_baba_pol_2|Жаночая вопратка
itm_pure_baba_pol_2_pl|Жаночая вопратка
itm_pure_baba_pol_3|Жаночая вопратка
itm_pure_baba_pol_3_pl|Жаночая вопратка
itm_rich_baba_swd_1|Жаночая вопратка
